s01-cb.csv(7)	 	 	 	  	 s02-dma.csv(12)	 	 	 	  	 s03-ima-artists.xml(4)	 	 	 	  	 s04-ima-artworks.xml(17)	 	 	 	  	 s05-met.json(14)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(14)	 	 	 	  	 s08-s-17-edited.xml(6)	 	 	 	  	 s09-s-18-artists.json(4)	 	 	 	  	 s10-s-18-artworks.json(11)	 	 	 	  	 s11-s-19-artists.json(6)	 	 	 	  	 s12-s-19-artworks.json(9)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(10)	 	 	 	  	 s14-s-california-african-american.json(9)	 	 	 	  	 s15-s-detroit-institute-of-art.json(13)	 	 	 	  	 s16-s-hammer.xml(5)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(12)	 	 	 	  	 s18-s-indianapolis-artists.xml(5)	 	 	 	  	 s19-s-indianapolis-artworks.xml(17)	 	 	 	  	 s20-s-lacma.xml(9)	 	 	 	  	 s21-s-met.json(28)	 	 	 	  	 s22-s-moca.xml(8)	 	 	 	  	 s23-s-national-portrait-gallery.json(18)	 	 	 	  	 s24-s-norton-simon.json(10)	 	 	 	  	 s25-s-oakland-museum-paintings.json(13)	 	 	 	  	 s26-s-san-francisco-moma.json(14)	 	 	 	  	 s27-s-the-huntington.json(12)	 	 	 	  	 s28-wildlife-art.csv(15)	 	 	 	  	 s29-gilcrease.csv(9)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.236	1.0	1.0 	 0.5	0.5	0.066	1.0	1.0 	 0.0	0.0	0.049	1.0	1.0 	 0.0	0.0	0.081	1.0	1.0 	 0.0	0.0	0.078	1.0	1.0 	 0.0	0.0	0.073	1.0	1.0 	 0.0	0.0	0.073	1.0	1.0 	 0.0	0.0	0.059	1.0	1.0 	 0.0	0.0	0.048	1.0	1.0 	 0.0	0.0	0.065	1.0	1.0 	 0.0	0.0	0.051	1.0	1.0 	 0.0	0.0	0.064	1.0	1.0 	 0.0	0.0	0.065	1.0	1.0 	 0.0	0.0	0.082	1.0	1.0 	 0.0	0.0	0.071	1.0	1.0 	 0.0	0.0	0.062	1.0	1.0 	 0.0	0.0	0.094	1.0	1.0 	 0.0	0.0	0.055	1.0	1.0 	 0.0	0.0	0.093	1.0	1.0 	 0.0	0.0	0.063	1.0	1.0 	 0.33	0.11	0.063	1.0	1.0 	 0.0	0.0	0.059	1.0	1.0 	 0.0	0.0	0.071	1.0	1.0 	 0.0	0.0	0.062	1.0	1.0 	 0.0	0.0	0.073	1.0	1.0 	 0.17	0.14	0.11	1.0	1.0 	 0.0	0.0	0.062	1.0	1.0 	 0.0	0.0	0.076	1.0	1.0 	 0.5	0.5	0.064	1.0	1.0
1.0	1.0	0.173	1.0	1.0 	 1.0	1.0	0.086	1.0	1.0 	 0.0	0.0	0.071	1.0	1.0 	 0.0	0.0	0.101	1.0	1.0 	 0.17	0.14	0.087	1.0	1.0 	 0.25	0.17	0.09	1.0	1.0 	 0.25	0.2	0.094	1.0	1.0 	 0.33	0.25	0.085	1.0	1.0 	 0.0	0.0	0.066	1.0	1.0 	 0.25	0.2	0.081	1.0	1.0 	 0.0	0.0	0.07	1.0	1.0 	 0.33	0.33	0.083	1.0	1.0 	 0.33	0.33	0.087	1.0	1.0 	 0.0	0.0	0.105	1.0	1.0 	 0.25	0.25	0.088	1.0	1.0 	 0.33	0.33	0.083	1.0	1.0 	 0.0	0.0	0.112	1.0	1.0 	 1.0	1.0	0.069	1.0	1.0 	 0.0	0.0	0.099	1.0	1.0 	 0.33	0.33	0.088	1.0	1.0 	 0.67	0.22	0.088	1.0	1.0 	 0.33	0.33	0.083	1.0	1.0 	 0.25	0.17	0.09	1.0	1.0 	 0.33	0.33	0.08	1.0	1.0 	 0.25	0.2	0.084	1.0	1.0 	 0.0	0.0	0.12	1.0	1.0 	 0.33	0.33	0.083	1.0	1.0 	 0.33	0.25	0.101	1.0	1.0 	 1.0	1.0	0.078	1.0	1.0
1.0	1.0	0.165	1.0	1.0 	 1.0	1.0	0.082	1.0	1.0 	 0.0	0.0	0.076	1.0	1.0 	 0.0	0.0	0.106	1.0	1.0 	 0.17	0.14	0.093	1.0	1.0 	 0.5	0.33	0.092	1.0	1.0 	 0.5	0.4	0.097	1.0	1.0 	 0.33	0.25	0.089	1.0	1.0 	 0.0	0.0	0.075	1.0	1.0 	 0.25	0.2	0.091	1.0	1.0 	 0.0	0.0	0.075	1.0	1.0 	 0.33	0.33	0.096	1.0	1.0 	 0.33	0.33	0.092	1.0	1.0 	 0.17	0.2	0.101	1.0	1.0 	 0.5	0.5	0.087	1.0	1.0 	 0.33	0.33	0.091	1.0	1.0 	 0.0	0.0	0.106	1.0	1.0 	 1.0	1.0	0.082	1.0	1.0 	 0.0	0.0	0.104	1.0	1.0 	 0.33	0.33	0.093	1.0	1.0 	 0.67	0.22	0.078	1.0	1.0 	 0.33	0.33	0.087	1.0	1.0 	 0.25	0.17	0.087	1.0	1.0 	 0.33	0.33	0.088	1.0	1.0 	 0.25	0.2	0.092	1.0	1.0 	 0.17	0.14	0.118	1.0	1.0 	 0.33	0.33	0.09	1.0	1.0 	 0.33	0.25	0.099	1.0	1.0 	 1.0	1.0	0.074	1.0	1.0
1.0	1.0	0.327	1.0	1.0 	 0.25	0.5	0.41	1.0	1.0 	 0.0	0.0	0.075	1.0	1.0 	 0.0	0.0	0.114	1.0	1.0 	 0.17	0.14	0.096	1.0	1.0 	 0.5	0.33	0.104	1.0	1.0 	 0.5	0.4	0.139	1.0	1.0 	 0.33	0.25	0.089	1.0	1.0 	 0.0	0.0	0.075	1.0	1.0 	 0.25	0.2	0.09	1.0	1.0 	 0.0	0.0	0.079	1.0	1.0 	 0.33	0.33	0.103	1.0	1.0 	 0.33	0.33	0.091	1.0	1.0 	 0.17	0.2	0.107	1.0	1.0 	 0.5	0.5	0.089	1.0	1.0 	 0.33	0.33	0.095	1.0	1.0 	 0.0	0.0	0.106	1.0	1.0 	 1.0	1.0	0.085	1.0	1.0 	 0.0	0.0	0.104	1.0	1.0 	 0.33	0.33	0.088	1.0	1.0 	 0.67	0.22	0.085	1.0	1.0 	 0.33	0.33	0.089	1.0	1.0 	 0.25	0.17	0.096	1.0	1.0 	 0.33	0.33	0.089	1.0	1.0 	 0.25	0.2	0.092	1.0	1.0 	 0.17	0.14	0.125	1.0	1.0 	 0.33	0.33	0.087	1.0	1.0 	 0.33	0.25	0.093	1.0	1.0 	 1.0	1.0	0.087	1.0	1.0
1.0	1.0	0.294	1.0	1.0 	 0.25	0.5	0.567	1.0	1.0 	 0.0	0.0	0.082	1.0	1.0 	 0.0	0.0	1.502	1.0	1.0 	 0.83	0.71	0.553	1.0	1.0 	 0.6	0.5	0.446	1.0	1.0 	 0.75	0.6	0.443	1.0	1.0 	 1.0	0.75	0.202	1.0	1.0 	 0.0	0.0	0.079	1.0	1.0 	 1.0	0.8	0.424	1.0	1.0 	 0.0	0.0	0.08	1.0	1.0 	 1.0	1.0	0.665	1.0	1.0 	 1.0	1.0	0.673	1.0	1.0 	 0.8	0.8	0.44	1.0	1.0 	 0.75	0.75	0.434	1.0	1.0 	 1.0	1.0	0.17	1.0	1.0 	 1.0	1.0	0.496	1.0	1.0 	 1.0	1.0	0.088	1.0	1.0 	 1.0	1.0	0.487	1.0	1.0 	 0.75	1.0	0.426	1.0	1.0 	 0.4	0.22	0.77	1.0	1.0 	 1.0	1.0	0.635	1.0	1.0 	 0.8	0.67	0.442	1.0	1.0 	 1.0	1.0	0.652	1.0	1.0 	 1.0	0.8	0.433	1.0	1.0 	 0.57	0.57	0.761	1.0	1.0 	 1.0	1.0	0.699	1.0	1.0 	 0.4	0.5	0.711	1.0	1.0 	 0.25	0.5	0.448	1.0	1.0
1.0	1.0	0.656	1.0	1.0 	 0.25	0.5	0.435	1.0	1.0 	 0.0	0.0	0.182	1.0	1.0 	 0.12	0.14	2.826	1.0	1.0 	 0.75	0.86	1.032	1.0	1.0 	 0.83	0.83	0.63	1.0	1.0 	 0.75	0.6	0.555	1.0	1.0 	 1.0	0.75	0.221	1.0	1.0 	 0.0	0.0	0.082	1.0	1.0 	 0.83	1.0	0.552	1.0	1.0 	 0.0	0.0	0.082	1.0	1.0 	 1.0	1.0	0.658	1.0	1.0 	 1.0	1.0	0.712	1.0	1.0 	 0.8	0.8	0.617	1.0	1.0 	 0.75	0.75	0.542	1.0	1.0 	 1.0	1.0	0.17	1.0	1.0 	 1.0	1.0	0.66	1.0	1.0 	 1.0	1.0	0.103	1.0	1.0 	 1.0	1.0	0.78	1.0	1.0 	 0.75	1.0	0.45	1.0	1.0 	 0.5	0.33	0.374	1.0	1.0 	 1.0	1.0	0.653	1.0	1.0 	 0.83	0.83	0.557	1.0	1.0 	 1.0	1.0	0.699	1.0	1.0 	 0.83	1.0	0.546	1.0	1.0 	 0.43	0.43	0.33	1.0	1.0 	 1.0	1.0	0.674	1.0	1.0 	 0.67	1.0	0.339	1.0	1.0 	 0.25	0.5	0.488	1.0	1.0
1.0	1.0	0.579	1.0	1.0 	 0.25	0.5	0.481	1.0	1.0 	 0.0	0.0	0.184	1.0	1.0 	 0.12	0.14	2.55	1.0	1.0 	 0.75	0.86	1.024	1.0	1.0 	 0.83	0.83	0.752	1.0	1.0 	 0.75	0.6	0.533	1.0	1.0 	 1.0	0.75	0.428	1.0	1.0 	 0.0	0.0	0.181	1.0	1.0 	 0.83	1.0	0.541	1.0	1.0 	 0.0	0.0	0.4	1.0	1.0 	 1.0	1.0	0.695	1.0	1.0 	 1.0	1.0	0.677	1.0	1.0 	 0.8	0.8	0.485	1.0	1.0 	 0.75	0.75	0.463	1.0	1.0 	 1.0	1.0	0.26	1.0	1.0 	 1.0	1.0	0.496	1.0	1.0 	 1.0	1.0	0.368	1.0	1.0 	 1.0	1.0	0.878	1.0	1.0 	 0.75	1.0	0.651	1.0	1.0 	 0.29	0.22	0.599	1.0	1.0 	 1.0	1.0	0.642	1.0	1.0 	 0.83	0.83	0.728	1.0	1.0 	 1.0	1.0	0.67	1.0	1.0 	 0.67	0.8	0.746	1.0	1.0 	 0.43	0.43	1.055	1.0	1.0 	 1.0	1.0	0.675	1.0	1.0 	 0.5	0.75	0.556	1.0	1.0 	 0.25	0.5	0.366	1.0	1.0
1.0	1.0	0.602	1.0	1.0 	 0.25	0.5	0.507	1.0	1.0 	 0.0	0.0	0.185	1.0	1.0 	 0.12	0.14	2.454	1.0	1.0 	 0.75	0.86	1.28	1.0	1.0 	 0.83	0.83	0.714	1.0	1.0 	 0.67	0.8	0.561	1.0	1.0 	 1.0	1.0	0.579	1.0	1.0 	 0.0	0.0	0.185	1.0	1.0 	 1.0	1.0	0.52	1.0	1.0 	 0.0	0.0	0.39	1.0	1.0 	 1.0	1.0	0.699	1.0	1.0 	 1.0	1.0	0.609	1.0	1.0 	 0.8	0.8	0.669	1.0	1.0 	 1.0	1.0	0.539	1.0	1.0 	 1.0	1.0	0.401	1.0	1.0 	 1.0	1.0	0.532	1.0	1.0 	 1.0	1.0	0.415	1.0	1.0 	 1.0	1.0	0.635	1.0	1.0 	 0.75	1.0	0.746	1.0	1.0 	 0.43	0.33	0.42	1.0	1.0 	 1.0	1.0	0.635	1.0	1.0 	 1.0	1.0	0.757	1.0	1.0 	 1.0	1.0	0.716	1.0	1.0 	 1.0	1.0	0.628	1.0	1.0 	 0.43	0.43	1.032	1.0	1.0 	 1.0	1.0	0.663	1.0	1.0 	 0.67	1.0	0.46	1.0	1.0 	 0.25	0.5	0.401	1.0	1.0
1.0	1.0	0.549	1.0	1.0 	 0.25	0.5	0.497	1.0	1.0 	 0.0	0.0	0.199	1.0	1.0 	 0.12	0.14	2.412	1.0	1.0 	 0.75	0.86	1.463	1.0	1.0 	 0.83	0.83	0.71	1.0	1.0 	 0.67	0.8	0.535	1.0	1.0 	 1.0	1.0	0.532	1.0	1.0 	 0.0	0.0	0.186	1.0	1.0 	 1.0	1.0	0.517	1.0	1.0 	 0.0	0.0	0.388	1.0	1.0 	 1.0	1.0	0.683	1.0	1.0 	 1.0	1.0	0.748	1.0	1.0 	 0.8	0.8	0.569	1.0	1.0 	 1.0	1.0	0.544	1.0	1.0 	 1.0	1.0	0.401	1.0	1.0 	 1.0	1.0	0.519	1.0	1.0 	 1.0	1.0	0.384	1.0	1.0 	 1.0	1.0	0.676	1.0	1.0 	 0.75	1.0	0.698	1.0	1.0 	 0.43	0.33	0.422	1.0	1.0 	 1.0	1.0	0.619	1.0	1.0 	 1.0	1.0	0.824	1.0	1.0 	 1.0	1.0	0.718	1.0	1.0 	 1.0	1.0	0.62	1.0	1.0 	 0.43	0.43	0.93	1.0	1.0 	 1.0	1.0	0.659	1.0	1.0 	 0.67	1.0	0.468	1.0	1.0 	 0.25	0.5	0.409	1.0	1.0
1.0	1.0	0.547	1.0	1.0 	 0.25	0.5	0.477	1.0	1.0 	 0.0	0.0	0.192	1.0	1.0 	 0.12	0.14	2.739	1.0	1.0 	 0.75	0.86	1.28	1.0	1.0 	 0.83	0.83	0.547	1.0	1.0 	 0.67	0.8	0.628	1.0	1.0 	 1.0	1.0	0.542	1.0	1.0 	 0.0	0.0	0.194	1.0	1.0 	 1.0	1.0	0.521	1.0	1.0 	 0.0	0.0	0.4	1.0	1.0 	 1.0	1.0	0.784	1.0	1.0 	 1.0	1.0	0.668	1.0	1.0 	 0.8	0.8	0.582	1.0	1.0 	 1.0	1.0	0.545	1.0	1.0 	 1.0	1.0	0.418	1.0	1.0 	 1.0	1.0	0.504	1.0	1.0 	 1.0	1.0	0.347	1.0	1.0 	 1.0	1.0	0.651	1.0	1.0 	 0.75	1.0	0.707	1.0	1.0 	 0.43	0.33	0.417	1.0	1.0 	 1.0	1.0	0.632	1.0	1.0 	 1.0	1.0	0.834	1.0	1.0 	 1.0	1.0	0.666	1.0	1.0 	 1.0	1.0	0.635	1.0	1.0 	 0.43	0.43	0.919	1.0	1.0 	 1.0	1.0	0.674	1.0	1.0 	 0.67	1.0	0.468	1.0	1.0 	 0.25	0.5	0.393	1.0	1.0
